city,latitutes,longtitudes,temperature (F),Temp_max (F),humidity,cloudiness,wind speed,date,country
muyuka,4.2898,9.4103,27.78,27.78,68,44,0.11,1644434642,CM
hermanus,-34.4187,19.2345,19.89,21.06,89,13,4.72,1644434643,ZA
gurinhem,-7.1239,-35.4244,29.78,32.6,48,35,6.81,1644434644,BR
verkhoyansk,67.5447,133.385,-43.17,-43.17,100,80,0.17,1644434644,RU
trinidad,-14.8333,-64.9,32.99,32.99,52,75,1.03,1644434645,BO
gizo,-8.103,156.8419,27.87,27.87,78,92,4.73,1644434645,SB
geraldton,-28.7667,114.6,18.23,18.23,77,0,3.6,1644434381,AU
longyearbyen,78.2186,15.6401,-14.09,-14.09,78,40,4.12,1644434471,SJ
vanavara,60.34,102.2797,-32.73,-32.73,100,70,0.96,1644434646,RU
christchurch,-43.5333,172.6333,17.51,18.28,97,100,1.03,1644434402,NZ
walvis bay,-22.9575,14.5053,20.53,21.16,83,0,3.09,1644434647,NA
lensk,60.7253,114.9278,-24.35,-24.35,99,100,1.26,1644434647,RU
xiantao,30.3833,113.4,2.54,2.54,90,6,1.19,1644434648,CN
vaini,-21.2,-175.2,26.09,26.09,94,20,3.09,1644434648,TO
general pico,-35.6566,-63.7568,32.68,32.68,28,0,5.89,1644434454,AR
puerto ayora,-0.7393,-90.3518,27.98,27.98,72,70,4.41,1644434649,EC
bredasdorp,-34.5322,20.0403,19.62,19.62,77,7,6.17,1644434650,ZA
mahebourg,-20.4081,57.7,24.16,24.16,88,75,2.57,1644434665,MU
busselton,-33.65,115.3333,16.16,16.16,69,8,4.88,1644434666,AU
castro,-24.7911,-50.0119,23.04,23.04,65,7,1.09,1644434666,BR
llanes,43.4198,-4.7549,13.82,13.83,67,0,1.24,1644434667,ES
georgetown,5.4112,100.3354,25.94,26.61,93,20,1.54,1644434588,MY
acari,-15.4311,-74.6158,27.72,27.72,53,10,5.43,1644434667,PE
chokurdakh,70.6333,147.9167,-38.42,-38.42,99,71,4.05,1644434668,RU
nicoya,10.1483,-85.452,31.75,31.75,36,25,4.59,1644434668,CR
bambous virieux,-20.3428,57.7575,24.14,24.14,88,75,2.57,1644434669,MU
dikson,73.5069,80.5464,-17.58,-17.58,94,99,9.71,1644434669,RU
tasiilaq,65.6145,-37.6368,-9.91,-9.91,64,26,4.96,1644434669,GL
touros,-5.1989,-35.4608,31.5,31.5,59,99,5.99,1644434670,BR
khandyga,62.6667,135.6,-38.95,-38.95,100,67,0.34,1644434670,RU
hobart,-42.8794,147.3294,14.69,15.92,78,75,3.09,1644434514,AU
aklavik,68.2191,-135.0107,-31.0,-29.6,69,100,5.14,1644434483,CA
iqaluit,63.7506,-68.5145,-27.95,-27.95,61,20,6.71,1644434671,CA
chuy,-33.6971,-53.4616,23.29,23.29,57,70,5.09,1644434672,UY
bilibino,68.0546,166.4372,-37.34,-37.34,100,87,0.4,1644434672,RU
nyurba,63.2842,118.3319,-34.91,-34.91,100,100,0.46,1644434673,RU
ossora,59.2353,163.0719,-24.24,-24.24,100,47,1.2,1644434688,RU
sao gabriel da cachoeira,-0.1303,-67.0892,27.89,27.89,83,75,2.06,1644434689,BR
westport,41.1415,-73.3579,6.02,8.75,54,0,2.57,1644434475,US
peniche,39.3558,-9.3811,13.15,16.45,82,8,0.31,1644434689,PT
barrow,71.2906,-156.7887,-30.99,-30.99,69,0,7.72,1644434662,US
faanui,-16.4833,-151.75,27.32,27.32,77,21,7.26,1644434690,PF
saskylakh,71.9167,114.0833,-23.2,-23.2,97,40,3.24,1644434691,RU
chulman,56.8479,124.9104,-38.6,-38.6,100,100,0.34,1644434691,RU
sao felix do xingu,-6.6447,-51.995,25.85,25.85,94,100,0.63,1644434691,BR
seymchan,62.8833,152.4333,-41.24,-41.24,100,80,0.36,1644434692,RU
coquimbo,-29.9533,-71.3436,19.85,19.85,72,75,5.14,1644434596,CL
gouyave,12.1646,-61.7296,28.43,28.43,65,20,8.75,1644434693,GD
praia,14.9215,-23.5087,27.3,27.3,39,0,6.69,1644434693,CV
upernavik,72.7868,-56.1549,-24.67,-24.67,69,100,3.84,1644434694,GL
kodinsk,58.6881,99.1844,-31.33,-31.33,100,80,0.36,1644434694,RU
norman wells,65.282,-126.8329,-22.98,-22.98,64,100,9.77,1644434695,CA
cherskiy,68.75,161.3,-42.71,-42.71,100,79,1.87,1644434695,RU
lagoa,39.05,-27.9833,14.83,14.83,73,1,7.13,1644434710,PT
kaitangata,-46.2817,169.8464,14.79,14.79,99,100,3.56,1644434711,NZ
mataura,-46.1927,168.8643,15.27,15.27,99,100,0.63,1644434711,NZ
saint anthony,45.0205,-93.218,0.35,1.48,73,100,10.8,1644434712,US
bushehr,28.9684,50.8385,12.05,12.05,47,0,0.0,1644434712,IR
darlawn,24.0167,92.9,7.69,7.69,73,5,1.49,1644434713,IN
ilyich,40.8464,68.5067,5.2,5.2,52,100,2.71,1644434713,KZ
pingzhuang,42.0372,119.2889,-4.96,-4.96,56,0,0.84,1644434714,CN
karpathos,35.507,27.2132,9.98,9.98,53,5,17.49,1644434714,GR
ponta delgada,37.7333,-25.6667,15.4,16.39,77,20,4.63,1644434715,PT
srivardhan,18.0333,73.0167,20.22,20.22,82,82,3.37,1644434462,IN
caravelas,-17.7125,-39.2481,28.58,28.58,66,6,4.78,1644434716,BR
husavik,66.0449,-17.3389,-4.05,-4.05,71,100,8.21,1644434716,IS
russell,32.3502,-85.1999,16.47,16.95,30,0,4.12,1644434717,US
zhigansk,66.7697,123.3711,-36.96,-36.96,98,95,3.17,1644434717,RU
kosh-agach,50.0,88.6667,-24.87,-24.87,99,100,0.76,1644434718,RU
atuona,-9.8,-139.0333,25.51,25.51,79,25,8.09,1644434718,PF
avarua,-21.2078,-159.775,26.03,26.03,83,20,2.06,1644434719,CK
chara,56.9064,118.2631,-28.18,-28.18,92,100,0.67,1644434496,RU
qaanaaq,77.484,-69.3632,-29.44,-29.44,78,99,2.02,1644434734,GL
leh,34.1667,77.5833,-19.76,-19.76,95,100,1.22,1644434735,IN
jacareacanga,-6.2222,-57.7528,24.69,24.69,90,100,1.06,1644434563,BR
borovoy,55.4333,86.0833,-20.4,-20.18,71,0,3.0,1644434736,RU
dwarka,22.2394,68.9678,21.53,21.53,58,0,4.33,1644434736,IN
siparia,10.1333,-61.5,28.78,29.92,76,100,3.13,1644434736,TT
arraial do cabo,-22.9661,-42.0278,23.92,23.92,78,75,2.57,1644434737,BR
cape town,-33.9258,18.4232,20.57,21.6,80,0,3.09,1644434504,ZA
byron bay,-28.65,153.6167,16.13,17.97,86,6,2.42,1644434737,AU
axim,4.8699,-2.2405,26.28,26.28,84,3,3.59,1644434738,GH
kruisfontein,-34.0033,24.7314,18.27,18.27,82,0,1.78,1644434738,ZA
kawalu,-7.3817,108.2082,22.66,22.66,94,100,0.86,1644434739,ID
te anau,-45.4167,167.7167,16.32,16.32,95,46,1.37,1644434739,NZ
stykkisholmur,65.0757,-22.7297,-5.27,-5.27,62,100,5.99,1644434740,IS
puyo,-1.4667,-77.9833,22.58,23.26,88,75,0.0,1644434740,EC
cabinda,-5.55,12.2,25.51,25.51,82,47,3.65,1644434741,AO
gold coast,-28.0,153.4333,18.4,19.46,92,0,2.57,1644434741,AU
olinda,-8.0089,-34.8553,29.85,29.85,62,40,3.6,1644434757,BR
sassandra,4.95,-6.0833,26.55,26.55,85,59,3.34,1644434757,CI
amuntai,-2.4177,115.2494,23.04,23.04,99,100,0.64,1644434758,ID
nalut,30.3333,10.85,10.34,10.34,42,0,5.19,1644434758,LY
acapulco,16.8634,-99.8901,29.9,29.9,54,0,3.6,1644434759,MX
asfi,32.2994,-9.2372,17.37,17.37,64,14,2.44,1644434759,MA
marawi,7.9986,124.2928,19.25,19.25,95,100,0.69,1644434760,PH
jamestown,42.097,-79.2353,5.8,10.62,56,100,7.72,1644434760,US
yamada,39.4667,141.95,0.24,0.24,75,100,0.63,1644434761,JP
nadvoitsy,63.8667,34.3167,-6.72,-6.72,97,95,3.8,1644434761,RU
pangai,-19.8,-174.35,26.79,26.79,82,100,7.95,1644434762,TO
muroto,33.2833,134.15,9.15,9.15,70,100,4.46,1644434762,JP
villanueva de cordoba,38.3228,-4.6287,6.85,6.85,59,0,0.89,1644434762,ES
kahului,20.8947,-156.47,23.89,24.91,62,20,2.24,1644434626,US
coihaique,-45.5752,-72.0662,18.97,20.34,30,40,6.69,1644434692,CL
necochea,-38.5473,-58.7368,29.46,29.46,37,100,3.75,1644434752,AR
nikolskoye,59.7035,30.7861,0.54,1.6,93,100,3.85,1644434764,RU
dakar,14.6937,-17.4441,32.49,32.49,56,91,5.85,1644434521,SN
san cristobal,7.7669,-72.225,26.1,26.1,55,81,2.54,1644434764,VE
lixourion,38.2019,20.4314,10.3,10.3,52,0,2.11,1644434780,GR
sao joao da barra,-21.6403,-41.0511,26.05,26.05,88,100,5.31,1644434781,BR
vanimo,-2.6741,141.3028,24.77,24.77,90,93,1.44,1644434781,PG
marzuq,14.4,46.4667,17.29,17.29,36,0,1.17,1644434781,YE
hambantota,6.1241,81.1185,24.12,24.12,80,100,2.27,1644434782,LK
seidu,9.0167,-10.6,27.66,27.66,17,3,1.86,1644434782,SL
baherden,38.4362,57.4316,10.32,10.32,39,0,2.66,1644434783,TM
ulladulla,-35.35,150.4667,16.98,17.83,60,6,1.84,1644434784,AU
narsaq,60.9167,-46.05,-7.88,-7.88,70,85,4.14,1644434784,GL
madingou,-4.1536,13.55,24.13,24.13,87,100,0.56,1644434784,CG
birao,10.2849,22.7882,24.25,24.25,13,32,2.34,1644434785,CF
baruun-urt,46.6806,113.2792,-19.95,-19.95,97,100,1.25,1644434785,MN
new norfolk,-42.7826,147.0587,14.38,15.72,65,98,0.89,1644434786,AU
sasolburg,-26.8136,27.817,20.38,20.38,52,75,2.66,1644434786,ZA
camapua,-19.5314,-54.0439,30.21,30.21,34,88,1.36,1644434787,BR
thompson,55.7435,-97.8558,-18.91,-18.91,65,20,2.57,1644434667,CA
pozo colorado,-23.4923,-58.7972,38.06,38.06,15,0,2.46,1644434788,PY
itarema,-2.9248,-39.9167,28.93,28.93,64,45,5.95,1644434803,BR
batagay-alyta,67.8006,130.4114,-33.17,-33.17,90,87,1.71,1644434803,RU
labytnangi,66.6572,66.4183,-21.99,-21.99,99,99,1.73,1644434804,RU
alofi,-19.0595,-169.9187,25.94,25.94,89,100,2.06,1644434804,NU
hithadhoo,-0.6,73.0833,28.16,28.16,71,13,5.98,1644434805,MV
sinnamary,5.3833,-52.95,26.13,26.13,83,31,4.52,1644434805,GF
alugan,12.2188,125.4808,25.82,25.82,79,95,5.97,1644434806,PH
kampot,10.6167,104.1833,27.03,27.03,76,34,2.04,1644434806,KH
taoudenni,22.6783,-3.9836,22.91,22.91,13,2,5.0,1644434807,ML
ilulissat,69.2167,-51.1,-9.99,-9.99,57,100,6.17,1644434807,GL
mollendo,-17.0231,-72.0147,23.03,23.03,66,21,4.1,1644434808,PE
alaca,40.1683,34.8425,-1.48,-1.48,96,98,5.71,1644434808,TR
vao,-22.6667,167.4833,26.83,26.83,88,100,12.44,1644434809,NC
torbay,47.6666,-52.7314,3.62,4.21,88,100,10.29,1644434809,CA
tura,25.5198,90.2201,13.64,13.64,65,5,1.66,1644434810,IN
hilo,19.7297,-155.09,21.44,25.14,85,100,4.63,1644434810,US
bluff,-46.6,168.3333,15.45,15.45,96,73,2.93,1644434810,NZ
vestmannaeyjar,63.4427,-20.2734,-1.94,-1.94,70,13,11.74,1644434811,IS
kudahuvadhoo,2.6708,72.8944,27.66,27.66,70,100,4.73,1644434811,MV
namibe,-15.1961,12.1522,23.87,23.87,75,100,5.4,1644434827,AO
mangai,-4.05,19.5333,24.85,24.85,69,97,0.58,1644434827,CD
santiago del estero,-27.7951,-64.2615,34.82,34.82,23,0,3.83,1644434667,AR
makakilo city,21.3469,-158.0858,23.73,25.11,65,0,2.57,1644434828,US
qaqortoq,60.7167,-46.0333,-7.72,-7.72,70,76,4.15,1644434829,GL
great yarmouth,52.6083,1.7305,7.97,9.56,82,100,2.0,1644434630,GB
klaksvik,62.2266,-6.589,0.51,0.51,98,100,5.59,1644434829,FO
broome,42.2506,-75.833,6.47,7.67,54,0,4.47,1644434830,US
marang,5.2056,103.2059,26.95,26.95,84,100,1.47,1644434830,MY
ambon,-3.6954,128.1814,24.08,24.08,94,40,2.57,1644434831,ID
luderitz,-26.6481,15.1594,24.63,24.63,48,2,8.61,1644434831,NA
ruteng,-8.6136,120.4721,17.54,17.54,92,100,0.22,1644434832,ID
srednekolymsk,67.45,153.6833,-41.8,-41.8,99,90,2.88,1644434832,RU
yongan,39.6957,113.6871,-6.04,-6.04,60,4,1.8,1644434833,CN
fortuna,40.5982,-124.1573,14.51,22.19,72,20,0.0,1644434833,US
likhoslavl,57.1275,35.464,-1.95,-1.95,93,100,1.97,1644434834,RU
cabo san lucas,22.8909,-109.9124,25.45,28.12,40,20,2.06,1644434715,MX
lata,40.1629,-8.3327,12.59,12.81,66,0,0.33,1644434835,PT
mizdah,31.4451,12.9801,9.9,9.9,53,31,4.83,1644434835,LY
podor,16.6527,-14.9587,32.97,32.97,16,0,1.03,1644434836,MR
kazanskoye,55.6448,69.235,-20.42,-20.42,99,51,3.18,1644434851,RU
las vigas,19.6333,-97.0833,7.54,7.54,80,78,1.66,1644434816,MX
miechow,50.3565,20.0279,5.87,6.51,86,100,5.88,1644434852,PL
anderson,34.5334,-82.6499,14.7,16.21,33,0,5.14,1644434852,US
tual,-5.6667,132.75,28.36,28.36,75,100,7.57,1644434853,ID
galveston,29.3669,-94.9669,19.18,21.18,41,0,4.12,1644434853,US
severo-kurilsk,50.6789,156.125,-0.39,-0.39,89,100,8.11,1644434853,RU
mar del plata,-38.0023,-57.5575,22.71,27.01,69,0,4.92,1644434854,AR
severo-yeniseyskiy,60.3725,93.0408,-24.49,-24.49,99,100,0.9,1644434855,RU
nurota,40.5614,65.6886,3.05,3.05,45,8,2.6,1644434855,UZ
la ligua,-32.4524,-71.2311,19.88,19.88,54,0,4.22,1644434856,CL
sitka,57.0531,-135.33,7.94,7.94,87,100,5.66,1644434856,US
kihei,20.785,-156.4656,23.94,24.91,62,20,1.54,1644434701,US
port keats,-14.25,129.55,26.41,26.41,84,78,1.24,1644434857,AU
hami,42.8,93.45,-2.87,-2.87,38,100,0.72,1644434831,CN
souillac,-20.5167,57.5167,24.21,24.21,88,75,2.57,1644434857,MU
santa catalina,9.3337,122.8637,24.97,24.97,85,53,3.81,1644434858,PH
sobolevo,54.4299,31.8996,-0.35,-0.35,90,100,5.51,1644434874,RU
caohai,26.8661,104.2841,0.35,0.35,91,29,1.93,1644434874,CN
pemangkat,1.1667,108.9667,23.8,23.8,94,100,1.61,1644434874,ID
kapaa,22.0752,-159.319,23.89,24.51,76,40,4.12,1644434875,US
pandamatenga,-18.5278,25.627,20.72,20.72,81,9,2.48,1644434875,BW
kaka,37.3482,59.6143,9.74,9.74,38,0,0.75,1644434876,TM
moron,-34.6534,-58.6198,27.46,30.01,49,4,3.13,1644434877,AR
yeniseysk,58.4497,92.1703,-30.4,-30.4,100,54,0.21,1644434877,RU
buala,-8.145,159.5921,26.12,26.12,84,38,3.03,1644434878,SB
northam,51.0333,-4.2167,7.45,9.63,96,100,3.8,1644434878,GB
camana,-16.6228,-72.7111,23.69,23.69,65,12,4.04,1644434879,PE
baykit,61.67,96.37,-23.01,-23.01,97,100,1.16,1644434777,RU
east london,-33.0153,27.9116,22.09,22.09,77,1,3.62,1644434879,ZA
salair,54.2312,85.7972,-27.29,-27.29,100,29,1.1,1644434880,RU
coahuayana,18.7333,-103.6833,29.94,29.94,34,0,3.47,1644434880,MX
tuktoyaktuk,69.4541,-133.0374,-35.0,-35.0,75,75,7.2,1644434881,CA
pisco,-13.7,-76.2167,21.03,23.34,83,40,4.12,1644434881,PE
bathsheba,13.2167,-59.5167,27.34,27.34,65,75,11.32,1644434897,BB
san vicente de canete,-13.0751,-76.3835,23.25,23.25,72,55,4.16,1644434898,PE
pevek,69.7008,170.3133,-35.5,-35.5,99,100,2.46,1644434898,RU
pangnirtung,66.1451,-65.7125,-26.0,-26.0,76,20,1.54,1644434899,CA
kajaani,64.2273,27.7285,-2.97,-2.97,93,100,3.09,1644434899,FI
nome,64.5011,-165.4064,-22.97,-22.96,70,100,4.63,1644434862,US
santa maria,-29.6842,-53.8069,28.61,28.61,37,20,3.6,1644434900,BR
carnarvon,-24.8667,113.6333,24.04,24.04,78,0,6.69,1644434900,AU
malakal,9.5334,31.6605,29.06,29.06,24,4,2.52,1644434901,SS
mendi,-6.1761,143.6513,13.04,13.04,97,92,0.88,1644434733,PG
muros,42.7762,-9.0603,11.29,14.28,86,1,2.62,1644434901,ES
hay river,60.8156,-115.7999,-20.01,-20.01,84,100,2.57,1644434902,CA
matara,5.9485,80.5353,24.46,24.46,82,100,1.99,1644434902,LK
jingdezhen,29.2947,117.2079,4.07,4.07,94,100,1.02,1644434903,CN
kikwit,-5.041,18.8162,24.8,24.8,67,36,1.19,1644434903,CD
omsukchan,62.5333,155.8,-30.33,-30.33,71,70,1.45,1644434904,RU
flinders,-34.5833,150.8552,18.02,19.65,77,4,3.13,1644434904,AU
nabire,-3.3667,135.4833,23.99,23.99,93,100,0.83,1644434706,ID
batemans bay,-35.7167,150.1833,18.94,18.94,67,7,2.0,1644434920,AU
dawlatabad,36.4141,64.9053,6.62,6.62,65,0,1.48,1644434920,AF
tarut,26.5733,50.0369,15.12,16.99,54,0,2.49,1644434921,SA
pokhara,28.2333,83.9833,9.61,9.61,93,98,0.59,1644434921,NP
kenora,49.8167,-94.4337,-10.57,-9.01,79,100,7.72,1644434873,CA
harsud,22.1,76.7333,19.07,19.07,39,5,2.82,1644434922,IN
korgen,66.0771,13.8153,-0.04,0.84,97,100,2.6,1644434922,NO
sorkjosen,69.8,20.9333,-7.0,-7.0,68,0,9.26,1644434923,NO
praia da vitoria,38.7333,-27.0667,15.14,15.42,82,40,6.16,1644434923,PT
foumban,5.7291,10.9001,22.59,22.59,20,85,0.86,1644434723,CM
jutai,-5.1833,-68.9,22.63,22.63,98,100,0.93,1644434924,BR
leningradskiy,69.3833,178.4167,-32.24,-32.24,96,100,4.04,1644434924,RU
haimen,23.1935,116.6142,13.94,13.94,85,100,3.18,1644434924,CN
veraval,20.9,70.3667,21.16,21.16,52,2,5.77,1644434925,IN
porto novo,6.4965,2.6036,28.9,28.9,82,65,3.89,1644434925,BJ
duku,11.2361,4.9073,29.65,29.65,10,0,3.22,1644434926,NG
boa vista,2.8197,-60.6733,35.99,35.99,30,40,2.57,1644434709,BR
port hardy,50.6996,-127.4199,7.1,8.2,93,100,3.09,1644434926,CA
awjilah,29.1081,21.2869,13.02,13.02,42,39,4.21,1644434927,LY
sestri levante,44.2732,9.3968,11.56,13.67,80,82,0.45,1644434928,IT
chapais,49.7834,-74.8492,-6.12,-6.12,84,100,4.26,1644434943,CA
san patricio,28.017,-97.5169,20.4,23.05,33,0,1.17,1644434944,US
bengkulu,-3.8004,102.2655,24.82,24.82,71,100,3.33,1644434944,ID
camocim,-2.9022,-40.8411,27.93,27.93,75,34,5.3,1644434945,BR
camacupa,-12.0167,17.4833,17.23,17.23,92,100,1.42,1644434945,AO
lufilufi,-13.8745,-171.5986,23.88,23.88,78,100,7.02,1644434946,WS
tiznit,29.5833,-9.5,18.79,18.79,23,5,3.63,1644434946,MA
camacari,-12.6975,-38.3242,30.87,30.87,57,19,4.31,1644434946,BR
sambava,-14.2667,50.1667,25.62,25.62,87,58,1.62,1644434947,MG
palmer,42.1584,-72.3287,5.65,7.6,44,0,5.66,1644434750,US
acarau,-2.8856,-40.12,28.65,28.65,67,55,6.27,1644434948,BR
rio gallegos,-51.6226,-69.2181,18.03,18.03,13,40,16.98,1644434948,AR
sa kaeo,13.75,102.3333,26.75,26.75,69,33,2.23,1644434948,TH
aksarka,66.5606,67.7975,-18.28,-18.28,99,99,4.41,1644434949,RU
lavrentiya,65.5833,-171.0,-31.31,-31.31,92,61,3.42,1644434949,RU
deputatskiy,69.3,139.9,-33.0,-33.0,86,100,3.0,1644434950,RU
teshie,5.5836,-0.1072,29.31,29.31,79,20,4.63,1644434950,GH
la ronge,55.1001,-105.2842,-14.86,-14.86,78,100,4.12,1644434951,CA
samarinda,-0.5,117.15,22.97,22.97,100,100,1.12,1644434951,ID
victoria,22.2855,114.1577,15.81,17.75,83,100,2.68,1644434728,HK
pineville,31.3224,-92.4343,18.76,19.37,31,0,6.69,1644434967,US
verkhovazhye,60.7472,42.0465,-3.62,-3.62,96,100,2.82,1644434967,RU
lebu,-37.6167,-73.65,17.88,17.88,63,0,9.63,1644434968,CL
ailigandi,9.2333,-78.0167,27.35,27.35,76,29,4.73,1644434968,PA
inuvik,68.3499,-133.7218,-30.07,-29.58,73,100,3.09,1644434969,CA
kendal,54.3268,-2.7476,5.05,6.73,84,100,5.71,1644434969,GB
svetlyy,54.675,20.1347,6.03,6.03,93,100,9.33,1644434970,RU
stantsionno-oyashinskiy,55.4664,83.8245,-22.3,-22.3,92,6,4.46,1644434970,RU
ilhabela,-23.7781,-45.3581,24.39,24.39,82,42,2.6,1644434970,BR
ca mau,9.1769,105.15,24.97,24.97,84,93,4.14,1644434971,VN
saint george,37.1041,-113.5841,13.39,17.26,19,0,2.57,1644434971,US
ancud,-41.8697,-73.8203,18.04,19.12,66,100,5.17,1644434972,CL
mopipi,-21.1833,24.8833,28.97,28.97,31,36,2.58,1644434972,BW
srostki,52.4189,85.7022,-23.62,-23.62,100,100,0.53,1644434973,RU
saint-jean-port-joli,47.2171,-70.2658,-0.26,1.04,87,99,6.91,1644434973,CA
zhob,31.3411,69.4481,7.15,7.15,36,0,2.22,1644434973,PK
yar-sale,66.8333,70.8333,-16.67,-16.67,95,22,5.96,1644434974,RU
sines,37.9562,-8.8698,14.05,14.05,82,0,1.44,1644434974,PT
neustrelitz,53.3667,13.0833,7.72,7.72,88,100,5.45,1644434975,DE
katsuura,35.1333,140.3,6.12,6.22,70,100,7.14,1644434990,JP
lehigh acres,26.6254,-81.6248,20.83,22.19,60,0,3.09,1644434991,US
yerofey pavlovich,53.9667,121.9667,-21.85,-21.85,97,99,1.37,1644434991,RU
port hedland,-20.3167,118.5667,26.03,26.03,89,21,3.6,1644434991,AU
pedernales,18.0384,-71.744,27.54,27.54,66,28,1.28,1644434992,DO
peterhead,57.5058,-1.7981,1.84,2.29,69,20,8.18,1644434992,GB
bone,51.9669,12.1396,9.08,9.6,76,100,3.47,1644434993,DE
vaitape,-16.5167,-151.75,27.32,27.32,77,21,7.24,1644434745,PF
naze,28.3667,129.4833,14.78,14.78,86,98,4.98,1644434993,JP
prince rupert,54.3161,-130.3201,8.05,8.05,93,100,11.32,1644434994,CA
airai,-8.9266,125.4092,16.33,16.33,93,100,0.51,1644434994,TL
kupang,-10.1667,123.5833,25.99,25.99,84,100,0.94,1644434995,ID
nelson bay,-32.7167,152.15,17.12,19.82,67,2,1.74,1644434995,AU
kavaratti,10.5669,72.642,26.85,26.85,68,100,6.37,1644434996,IN
ballina,-28.8667,153.5667,16.05,17.1,96,7,0.0,1644434996,AU
le port,-20.9373,55.2919,22.98,24.0,82,25,1.44,1644434996,RE
svolvaer,68.2342,14.5683,0.98,1.39,86,75,10.8,1644434997,NO
songea,-10.6833,35.65,18.36,18.36,96,100,0.28,1644434997,TZ
dhidhdhoo,6.8833,73.1,27.31,27.31,74,100,3.85,1644434998,MV
oistins,13.0667,-59.5333,27.05,27.05,65,75,11.32,1644434703,BB
neftcala,39.3742,49.2472,10.73,10.73,72,3,4.75,1644435013,AZ
saldanha,-33.0117,17.9442,20.03,20.03,89,0,2.96,1644435014,ZA
cidreira,-30.1811,-50.2056,23.45,23.45,63,28,5.02,1644435014,BR
berlevag,70.8578,29.0864,-5.03,-5.03,74,96,9.77,1644435015,NO
adrar,20.5022,-10.0711,21.53,21.53,10,2,5.42,1644435015,MR
haverfordwest,51.8017,-4.9691,6.89,9.19,86,100,3.29,1644435016,GB
mahon,39.8885,4.2658,10.31,10.31,81,20,2.06,1644435017,ES
tata,24.7475,67.9235,19.22,19.22,26,0,2.54,1644435017,PK
bakel,14.905,-12.4568,28.69,28.69,7,7,4.17,1644435018,SN
homer,59.6425,-151.5483,-7.13,-7.06,72,100,8.75,1644435018,US
bereda,43.2686,-7.5406,6.34,11.86,90,0,0.76,1644435019,ES
kaabong,3.4836,34.1492,22.21,22.21,34,28,2.77,1644434833,UG
acambaro,20.0333,-100.7333,19.92,21.07,21,2,4.06,1644435020,MX
